"o 0:00","2082 expedition way",5,"5A        ",1512,"459 PC  BURGLARY RESIDENCE",2204,38.47350069,-121.4901858
"o 0:00","4 palen ct",2,"2A        ",212,"10851(A)VC TAKE VEH W/O OWNER",2404,38.65784584,-121.4621009
"o 0:00","22 beckford ct",6,"6C        ",1443,"476 PC PASS FICTICIOUS CHECK",2501,38.50677377,-121.4269508
"o 0:00","3421 auburn blvd",2,"2A        ",508,"459 PC  BURGLARY-UNSPECIFIED",2299,38.6374478,-121.3846125
"o 0:00","5301 bonniemae way",6,"6B        ",1084,"530.5 PC USE PERSONAL ID INFO",2604,38.52697863,-121.4513383
"o 0:00","2217 16th ave",4,"4A        ",957,"459 PC  BURGLARY VEHICLE",2299,38.537173,-121.4875774
"o 0:00","3547 p st",3,"3C        ",853,"484 PC   PETTY THEFT/INSIDE",2308,38.56433456,-121.4618826
"o 0:00","3421 auburn blvd",2,"2A        ",508,"459 PC  BURGLARY BUSINESS",2203,38.6374478,-121.3846125
"o 0:00","1326 helmsman way",1,"1B        ",444,"1708 US   THEFT OF MAIL",2310,38.60960217,-121.4918375
"o 0:00","2315 c blvd",6,"6B        ",1005,"ASSAULT WITH WEAPON - I RPT",7000,38.55426406,-121.4546045
"o 0:00","5112 63rd st",6,"6B        ",1088,"530.5 PC USE PERSONAL ID INFO",2604,38.52816497,-121.4314528
"o 0:00","6351 driftwood st",4,"4C        ",1261,"SUSP PERS-NO CRIME - I RPT",7000,38.51092155,-121.5488201
"o 0:00","7721 college town dr",3,"3C        ",888,"530.5 PC USE PERSONAL ID INFO",2604,38.55611545,-121.4142729
"o 0:00","8460 rovana cir",6,"6C        ",1447,"484G(B) PC ACCESS CARD FRAUD",2605,38.50398051,-121.3923987
"o 0:00","4856 11th ave",6,"6B        ",1054,"487(A) PC GRAND THEFT",2303,38.54152896,-121.4495097
"o 0:00","6033 69th st",6,"6C        ",1403,"TELEPEST -I RPT",7000,38.51657327,-121.4234749
"o 0:00","547 l st",3,"3M        ",742,"487(A) GRAND THEFT-INSIDE",2308,38.58184562,-121.5011657
"o 0:00","3525 42nd st",6,"6A        ",1034,"530.5 PC USE PERSONAL ID INFO",2604,38.54270763,-121.4572067
"o 0:00","5641 dorset way",4,"4C        ",1225,"484J PC PUBLISH CARD INFO",2605,38.52459987,-121.5203609
"o 0:01","5551 rexleigh ct",5,"5C        ",1661,"459 PC  BURGLARY VEHICLE",2299,38.44659211,-121.4423777
"o 0:01","1896 b way",2,"2C        ",628,"484G(B) PC ACCESS CARD FRAUD",2605,38.59664183,-121.423349
"o 0:01","6168 riverside blvd",4,"4C        ",1251,"484 PC PETTY THEFT",2399,38.51512387,-121.5291027
"o 0:01","415 sextant way",2,"2A        ",213,"459 PC  BURGLARY VEHICLE",2299,38.65660112,-121.4560449
"o 0:01","15 basin ct",5,"5C        ",1654,"TRAFFIC - I RPT",7000,38.44281523,-121.4095243
"o 0:01","3340 62nd st",6,"6B        ",1047,"594(B)(1)PC  VANDALISM +$400",2999,38.5438039,-121.4332827
"o 0:01","4280 deer hill dr",5,"5B        ",1616,"484G(B) PC ACCESS CARD FRAUD",2605,38.47121906,-121.4547389
"o 0:01","2814 5th st",4,"4A        ",923,"484 PC  PETTY THEFT/ OUTSIDE",2309,38.5564521,-121.5123309
"o 0:01","1816 hh rd",5,"5A        ",1361,"HARASSMENT - I RPT",7000,38.49535335,-121.4965602
"o 0:01","1260 bell ave",2,"2A        ",235,"484 PC PETTY THEFT",2399,38.64717373,-121.4375169
"o 0:01","7676 bridgeview dr",4,"4C        ",1294,"LOST PROPERTY - I RPT",7000,38.47889498,-121.5354477
"o 0:01","3816 cypress st",2,"2A        ",503,"459 PC  BURGLARY RESIDENCE",2204,38.63734742,-121.444642
"o 0:01","1211 23rd st",3,"3B        ",747,"484G(A)PC USE FORGED CARD",2605,38.57289613,-121.4767958
"o 0:01","7001 east pkwy",6,"6C        ",1427,"503 PC   EMBEZZLEMENT",2799,38.51436734,-121.3854286
"o 0:01","918 lake front dr",4,"4C        ",1294,"TELEPEST -I RPT",7000,38.47948616,-121.5215057
"o 0:01","4851 kokomo dr",1,"1A        ",123,"487(A) GRAND THEFT-INSIDE",2308,38.65994218,-121.5259008
"o 0:01","2377 oak harbour dr",1,"1B        ",440,"653M(A) PC OBSCENE/THREAT CALL",5309,38.60893745,-121.5187927
"o 0:01","1823 p st",3,"3B        ",766,"484 PETTY THEFT/LICENSE PLATE",2399,38.57084621,-121.484429
"o 0:01","1100 14th st",3,"3M        ",745,"FOUND PROPERTY - I RPT",7000,38.57815667,-121.4876958
"o 0:01","3301 arena blvd",1,"1A        ",303,"530.5 PC USE PERSONAL ID INFO",2604,38.64378844,-121.5341593
"o 0:01","1088 prego way",1,"1B        ",404,"530.5 PC USE PERSONAL ID INFO",2604,38.62798948,-121.4857344
"o 0:01","3259 spinning rod way",1,"1B        ",475,"484J PC PUBLISH CARD INFO",2605,38.61153542,-121.5370613
"o 0:01","1010 j st",3,"3M        ",744,"THREATS - I RPT",7000,38.57999251,-121.4930384
"o 0:01","400 bannon st",3,"3A        ",704,"530 PC FALSE PERS. REC PROP",2604,38.59540732,-121.4978798
"o 0:10","6115 63rd st",6,"6B        ",1421,"246 PC SHOOT OCCUP DWELL/VEH",5213,38.51526387,-121.4296507
"o 0:15","47 fire leaf ct",2,"2A        ",212,"10851(A)VC TAKE VEH W/O OWNER",2404,38.65737252,-121.4577585
"o 0:18","5140 61st st",6,"6B        ",1087,"SHOOT INTO OCCUP DWELL - I RPT",7000,38.52799185,-121.434789
"o 0:19","1814 19th st",3,"3A        ",776,"FOUND PROPERTY - I RPT",7000,38.56796664,-121.4852542
"o 0:24","6940 27th st",4,"4B        ",1356,"243(E)1 BATTERY NONCOHAB SPOUS",1315,38.50009398,-121.4776262
"o 0:25","3820 65th st",6,"6B        ",1058,"MISCELLANEOUS I RPT (ZMISC)",7000,38.54138742,-121.4282497
"o 0:27","2829 hh rd",4,"4B        ",1356,"TOWED/STORED VEH-14602.6",7000,38.49609085,-121.4740915
"o 0:30","1080 appollo way",4,"4A        ",1203,"10851(A)VC TAKE VEH W/O OWNER",2404,38.52973955,-121.5195294
"o 0:30","6571 weatherford way",5,"5C        ",1635,"10851(A)VC TAKE VEH W/O OWNER",2404,38.46637324,-121.4265274
"o 0:30","930 43rd ave",4,"4C        ",1253,"10851(A)VC TAKE VEH W/O OWNER",2404,38.51538948,-121.5255605
"o 0:31","2830 e st",3,"3B        ",728,"211 PC ROBBERY- BUSINESS",1299,38.57905906,-121.4661967
"o 0:36","northgate blvd / w silver eagle rd",1,"1C        ",419,"CASUALTY REPORT",7000,38.63036289,-121.4755269
"o 0:36","6665 c blvd",6,"6C        ",1441,"459 PC  BURGLARY BUSINESS",2203,38.50632179,-121.4333041
"o 0:39","7811 deer meadow dr",5,"5B        ",1616,"246 PC SHOOT OCCUP DWELL/VEH",5213,38.47400047,-121.4581933
"o 0:40","3rd st / o st",3,"3A        ",762,"23152(A) VC DUI-ALCOHOL/DRUGS",5404,38.57724403,-121.5051437
"o 0:46","27th st / j st",3,"3B        ",738,"TRAFFIC-ACCIDENT INJURY",5400,38.57419952,-121.470553
"o 0:55","8th st / l st",3,"3M        ",742,"DUI I RPT",7000,38.57881567,-121.4970836
"o 1:00","7850 college town dr",3,"3C        ",888,"484 PETTY THEFT/LICENSE PLATE",2399,38.55456463,-121.4106138
"o 1:00","63rd st / jansen dr",6,"6B        ",1402,"23152(A) VC DUI-ALCOHOL/DRUGS",5404,38.52199211,-121.4309007
"o 1:00","11 alcanon ct",1,"1B        ",353,"459 PC  BURGLARY VEHICLE",2299,38.62453557,-121.5264198
"o 1:00","truxel rd / saginaw cir",1,"1B        ",414,"10851(A)VC TAKE VEH W/O OWNER",2404,38.62504428,-121.4978986
"o 1:00","2600 n st",3,"3B        ",768,"459 PC  BURGLARY VEHICLE",2299,38.56984785,-121.4737052
"o 1:06","4740 becket way",5,"5B        ",1631,"459 PC  BURGLARY RESIDENCE",2204,38.46518116,-121.4461653
"o 1:30","calvine rd / center pkwy",5,"5C        ",1645,"243(D) PC BATT/CIVILIAN W/INJ",1315,38.4497213,-121.4258719
"o 1:30","6625 valley hi dr",5,"5C        ",1623,"10851(A)VC TAKE VEH W/O OWNER",2404,38.47143667,-121.427615
"o 1:51","rainbow ave / howe ave",2,"2C        ",558,"246.3 PC NEGL DISCH FIREARM",5213,38.61972226,-121.4152799
"o 2:00","2500 hh rd",5,"5A        ",1363,"487(A) PC GRAND THEFT",2303,38.49570962,-121.477826
"o 2:09","3012 albatross way",2,"2C        ",567,"CASUALTY REPORT",7000,38.62070956,-121.4226958
"o 2:10","1426 brewerton dr",1,"1B        ",435,"246 PC SHOOT OCCUP DWELL/VEH",5213,38.61488957,-121.4934272
"o 2:14","front st / k st",3,"3M        ",741,"LOST PROPERTY - I RPT",7000,38.58239328,-121.5059336
"o 2:30","3807 24th ave",6,"6A        ",1071,"CASUALTY REPORT",7000,38.53116122,-121.4661214
"o 2:40","empress st / b way",2,"2C        ",603,"11351.5 HS POSS SALE RCK COCAI",3532,38.60641085,-121.4473501
"o 2:40","1415 l st",3,"3M        ",745,"211 PC  ROBBERY UNSPECIFIED",1299,38.57682477,-121.4882896
"o 2:47","2737 screech owl way",1,"1A        ",344,"594(B)(2)(A) VANDALISM/ -$400",2999,38.63207451,-121.5287747
"o 2:54","1900 canterbury rd",2,"2C        ",613,"243(E)1 BATTERY NONCOHAB SPOUS",1315,38.60108154,-121.456171
"o 3:00","7769 amherst st",5,"5A        ",1501,"10851(A)VC TAKE VEH W/O OWNER",2404,38.47489873,-121.4996944
"o 3:00","100 rockmont cir",1,"1A        ",103,"594(B)(2)(A) VANDALISM/ -$400",2999,38.67510292,-121.5226753
"o 3:28","8032 torrente way",5,"5B        ",1618,"459 PC  BURGLARY RESIDENCE",2204,38.46594742,-121.4513773
"o 3:30","power inn rd / elder creek rd",6,"6C        ",1406,"TRAFFIC-ACCIDENT-NON INJURY",5400,38.51055016,-121.409083
"o 3:52","1125 alhambra blvd",3,"3C        ",841,"475(C) PASS FORGED NOTE",2506,38.570664,-121.465448
"o 4:00","4128 norwood ave",2,"2A        ",233,"245(A)(2) AWDW/FIREARM/CIVILIA",1315,38.6432324,-121.4563115
"o 4:00","honor pkwy / regency park cir",1,"1A        ",106,"11377(A)HS POSS AMPHETAMINES",3572,38.67318557,-121.5035491
"o 4:00","3 cloe ct",1,"1A        ",115,"487(A) GRAND THEFT-INSIDE",2308,38.66695301,-121.5088707
"o 4:00","8454 coeburn st",5,"5C        ",1644,"459 PC  BURGLARY VEHICLE",2299,38.45025842,-121.443044
"o 4:00","5620 34th ave",6,"6B        ",1401,"459 PC  BURGLARY VEHICLE",2299,38.52337984,-121.4378491
"o 4:15","t / 16th st",4,"4A        ",906,"TRAFFIC-ACCIDENT-NON INJURY",5400,38.56159185,-121.4923822
"o 4:15","1414 43rd st",3,"3C        ",844,"484 PC   PETTY THEFT/INSIDE",2308,38.56438552,-121.4516767
"o 4:20","hh rd / munson way",5,"5B        ",1359,"TOWED/STORED VEH-14602.6",7000,38.49603233,-121.4619674
"o 4:30","1 clauss ct",6,"6B        ",1084,"10851(A)VC TAKE VEH W/O OWNER",2404,38.52967087,-121.4469794
"o 5:14","mack rd / center pkwy",5,"5B        ",1606,"20002(A) HIT/RUN",5401,38.47425283,-121.4368769
"o 5:22","1426 i st",3,"3M        ",735,"5150 WI DANGER SELF/OTHERS",7000,38.57941421,-121.4864344
"o 6:00","mack rd / center pkwy",5,"5B        ",1606,"TOWED/STORED VEHICLE",7000,38.47425283,-121.4368769
"o 6:00","1236 el encanto way",4,"4C        ",1278,"487(A) PC GRAND THEFT",2303,38.49714012,-121.5136898
"o 6:10","2801 l st",3,"3B        ",748,"IMPOUNDED VEHICLE",7000,38.57201606,-121.4692575
"o 6:27","2884 del paso blvd",2,"2B        ",564,"10851(A)VC TAKE VEH W/O OWNER",2404,38.61859754,-121.4382569
"o 6:46","j st / 29th st",3,"3B        ",738,"20002(A) HIT/RUN",5401,38.57348427,-121.4678719
"o 7:00","2518 hawthorne st",2,"2B        ",551,"459 PC  BURGLARY RESIDENCE",2204,38.61197962,-121.4578062
"o 7:20","azevedo dr / yarwood way",1,"1B        ",411,"PERSON INFORMATION - I RPT",7000,38.62099831,-121.5104473
"o 7:30","6021 wilkinson st",6,"6C        ",1404,"653M(B) PC ANNOY/RPT CALL HOME",5307,38.51755951,-121.4142712
