"1/1/06 0:00","3108 occidental dr",3,"3C        ",1115,"10851(A)VC TAKE VEH W/O OWNER",2404,38.55042047,-121.3914158
"1/1/06 0:00","2082 expedition way",5,"5A        ",1512,"459 PC  BURGLARY RESIDENCE",2204,38.47350069,-121.4901858
"1/1/06 0:00","4 palen ct",2,"2A        ",212,"10851(A)VC TAKE VEH W/O OWNER",2404,38.65784584,-121.4621009
"1/1/06 0:00","22 beckford ct",6,"6C        ",1443,"476 PC PASS FICTICIOUS CHECK",2501,38.50677377,-121.4269508
"1/1/06 0:00","3421 auburn blvd",2,"2A        ",508,"459 PC  BURGLARY-UNSPECIFIED",2299,38.6374478,-121.3846125
"1/1/06 0:00","5301 bonniemae way",6,"6B        ",1084,"530.5 PC USE PERSONAL ID INFO",2604,38.52697863,-121.4513383
"1/1/06 0:00","2217 16th ave",4,"4A        ",957,"459 PC  BURGLARY VEHICLE",2299,38.537173,-121.4875774
"1/1/06 0:00","3547 p st",3,"3C        ",853,"484 PC   PETTY THEFT/INSIDE",2308,38.56433456,-121.4618826
"1/1/06 0:00","3421 auburn blvd",2,"2A        ",508,"459 PC  BURGLARY BUSINESS",2203,38.6374478,-121.3846125
"1/1/06 0:00","1326 helmsman way",1,"1B        ",444,"1708 US   THEFT OF MAIL",2310,38.60960217,-121.4918375
"1/1/06 0:00","2315 stockton blvd",6,"6B        ",1005,"ASSAULT WITH WEAPON - I RPT",7000,38.55426406,-121.4546045
"1/1/06 0:00","5112 63rd st",6,"6B        ",1088,"530.5 PC USE PERSONAL ID INFO",2604,38.52816497,-121.4314528
"1/1/06 0:00","6351 driftwood st",4,"4C        ",1261,"SUSP PERS-NO CRIME - I RPT",7000,38.51092155,-121.5488201
"1/1/06 0:00","7721 college town dr",3,"3C        ",888,"530.5 PC USE PERSONAL ID INFO",2604,38.55611545,-121.4142729
"1/1/06 0:00","8460 rovana cir",6,"6C        ",1447,"484G(B) PC ACCESS CARD FRAUD",2605,38.50398051,-121.3923987
"1/1/06 0:00","4856 11th ave",6,"6B        ",1054,"487(A) PC GRAND THEFT",2303,38.54152896,-121.4495097
"1/1/06 0:00","6033 69th st",6,"6C        ",1403,"TELEPEST -I RPT",7000,38.51657327,-121.4234749
"1/1/06 0:00","547 l st",3,"3M        ",742,"487(A) GRAND THEFT-INSIDE",2308,38.58184562,-121.5011657
"1/1/06 0:00","3525 42nd st",6,"6A        ",1034,"530.5 PC USE PERSONAL ID INFO",2604,38.54270763,-121.4572067
"1/1/06 0:00","5641 dorset way",4,"4C        ",1225,"484J PC PUBLISH CARD INFO",2605,38.52459987,-121.5203609
"1/1/06 0:01","5551 rexleigh ct",5,"5C        ",1661,"459 PC  BURGLARY VEHICLE",2299,38.44659211,-121.4423777
"1/1/06 0:01","1896 arden way",2,"2C        ",628,"484G(B) PC ACCESS CARD FRAUD",2605,38.59664183,-121.423349
"1/1/06 0:01","6168 riverside blvd",4,"4C        ",1251,"484 PC PETTY THEFT",2399,38.51512387,-121.5291027
"1/1/06 0:01","415 sextant way",2,"2A        ",213,"459 PC  BURGLARY VEHICLE",2299,38.65660112,-121.4560449
"1/1/06 0:01","15 basin ct",5,"5C        ",1654,"TRAFFIC - I RPT",7000,38.44281523,-121.4095243
